"ID","MODEL","PAR1","PAR2","PAR3","PAR4","ID.NEW","Group"
"MA0168","2PL",1.58855756869827,-1.44122581591504,NA,NA,"MA0103","EE"
"MA0177","2PL",1.42644930089617,1.15439508741104,NA,NA,"MA0104","FT"
"MA0182","2PL",1.55333094113838,1.34524492057657,NA,NA,"MA0105","FT"
"MA0193","2PL",1.5933238055166,-0.0836995767243366,NA,NA,"MA0106","GM"
"MA0196","2PL",1.72270689668052,-0.421343339108134,NA,NA,"MA0107","GM"
"MA0207","2PL",1.57588783361184,0.732460897575056,NA,NA,"MA0108","EE"
"MA0221","2PL",1.43781463772012,-1.55411448060572,NA,NA,"MA0109","NS"
"MA0222","2PL",1.57673209725874,-0.0222375046110008,NA,NA,"MA0110","SP"
"MA0238","2PL",1.50497909845422,-1.18791045738048,NA,NA,"MA0111","EE"
"MA0245","2PL",1.69400556943759,1.52600858113388,NA,NA,"MA0112","FT"
"MA0258","2PL",1.76874206091643,0.64506937817828,NA,NA,"MA0113","EE"
"MA0281","2PL",1.42706198203024,0.745721288557715,NA,NA,"MA0114","FT"
"MA0289","2PL",1.54319329710613,0.438060715317057,NA,NA,"MA0115","SP"
"MA0291","2PL",1.50938973011296,-0.0551240907917996,NA,NA,"MA0116","FT"
"MA0292","2PL",1.56631263081026,0.734934575314217,NA,NA,"MA0117","FT"
"MA0295","2PL",1.43745014899931,1.81548815653976,NA,NA,"MA0118","SP"
"MA0303","2PL",1.49378411530329,2.22002472130408,NA,NA,"MA0119","NS"
"MA0306","2PL",1.4686716081212,1.60916597940551,NA,NA,"MA0120","EE"
"MA0311","2PL",1.74916365065121,1.13037082578282,NA,NA,"MA0121","EE"
"MA0317","2PL",1.5472561378674,-0.156009328824179,NA,NA,"MA0122","FT"
"MA0329","2PL",1.4160115474237,-0.893864301734222,NA,NA,"MA0123","SP"
"MA0332","2PL",1.47875262712995,-1.57966049653932,NA,NA,"MA0124","EE"
"MA0349","2PL",1.4092003129956,0.897492409683882,NA,NA,"MA0125","EE"
"MA0354","2PL",1.65230935049275,0.467852821326232,NA,NA,"MA0126","GM"
"MA0361","2PL",1.74122437119236,-2.44205804199923,NA,NA,"MA0127","NS"
"MA0362","2PL",1.69715485761811,1.38335351460081,NA,NA,"MA0128","EE"
"MA0367","2PL",1.46090174841842,1.37314795254486,NA,NA,"MA0129","GM"
"MA0370","2PL",1.59104137295256,-1.06439073391735,NA,NA,"MA0130","FT"
"MA0382","2PL",1.44588688136394,1.48339920040043,NA,NA,"MA0131","FT"
"MA0384","2PL",1.40866827650993,0.22132335782022,NA,NA,"MA0132","EE"
"MA0388","2PL",1.42739751764652,0.688793947388139,NA,NA,"MA0133","FT"
"MA0395","2PL",1.50124964495234,-0.0596724461508201,NA,NA,"MA0134","EE"
"MA0398","2PL",1.45999335708256,0.0302754297966322,NA,NA,"MA0135","SP"
"MA0406","2PL",1.50782750766522,-0.414927870916794,NA,NA,"MA0136","SP"
"MA0415","2PL",1.4535076018755,0.147164708126273,NA,NA,"MA0137","GM"
"MA0417","2PL",1.77910036646232,1.10163196431026,NA,NA,"MA0138","EE"
"MA0423","2PL",1.67763255487536,0.274812653333689,NA,NA,"MA0139","FT"
"MA0431","2PL",1.44463700738873,-2.08100296086076,NA,NA,"MA0140","EE"
"MA0441","2PL",1.40176514931281,0.228587551154171,NA,NA,"MA0141","GM"
"MA0458","2PL",1.64790886457063,-1.46982631176213,NA,NA,"MA0142","GM"
"MA0496","2PL",1.70079966230364,-0.817980486311665,NA,NA,"MA0143","FT"
"MA0504","2PL",1.76591637018348,0.228477453620098,NA,NA,"MA0144","NS"
"MA0505","2PL",1.46858784898736,1.07805031695382,NA,NA,"MA0145","EE"
"MA0509","2PL",1.44976510968768,1.53258740876869,NA,NA,"MA0146","FT"
"MA0513","2PL",1.42980012600859,-0.328430526881349,NA,NA,"MA0147","GM"
"MA0522","2PL",1.50242301876031,0.514960582951313,NA,NA,"MA0148","NS"
"MA0527","2PL",1.40100109270766,-0.168343877501848,NA,NA,"MA0149","SP"
"MA0535","2PL",1.60495933721705,2.05258078885618,NA,NA,"MA0150","FT"
"MA0538","2PL",1.46869519062222,1.67034186939218,NA,NA,"MA0151","FT"
"MA0545","2PL",1.43402168132053,1.42019069523115,NA,NA,"MA0152","EE"
"MA0551","2PL",1.68196898936895,1.17497206569818,NA,NA,"MA0153","GM"
"MA0554","2PL",1.75876114885875,-0.181651207314738,NA,NA,"MA0154","NS"
"MA0566","2PL",1.53262167620257,1.17964789100235,NA,NA,"MA0155","EE"
"MA0576","2PL",1.58005683455713,0.973935793470034,NA,NA,"MA0156","SP"
"MA0579","2PL",1.41042676172223,-1.97012235937322,NA,NA,"MA0157","EE"
"MA0596","2PL",1.45032047241635,0.831094789624929,NA,NA,"MA0158","EE"
"MA0612","2PL",1.61834440509643,0.679267414685869,NA,NA,"MA0159","FT"
"MA0631","2PL",1.58658356637907,-1.27423701741686,NA,NA,"MA0160","SP"
"MA0007","2PL",1.48709194438357,0.733023577836426,NA,NA,"MA0161","NS"
"MA0020","2PL",1.39530240840803,0.819181666443366,NA,NA,"MA0162","NS"
"MA0022","2PL",1.58589987729685,1.14430818662181,NA,NA,"MA0163","FT"
